,speed,gear,brake,throttle,revs,transmission_speed
69,[15.922734893143115],[1.0],[0.0],[80.0],[2649.93771986471],[720.3158819548787]
70,[16.10266018896133],[1.0],[0.0],[80.0],[2657.809240275491],[728.455378656485]
71,[16.281383381325753],[1.0],[0.0],[80.0],[2665.603517928268],[736.5404943603965]
72,[16.45891663844754],[1.0],[0.0],[80.0],[2673.3184164998606],[744.5717795345955]
73,[16.635271255597875],[1.0],[0.0],[80.0],[2680.9533703860443],[752.5497451568305]
74,[16.8104579737889],[1.0],[0.0],[80.0],[2688.5086765417986],[760.474877131168]
75,[16.98448715929447],[1.0],[0.0],[80.0],[2695.985098694138],[768.3476444091888]
76,[17.157368905552488],[1.0],[0.0],[80.0],[2703.3836462175277],[776.1685035998652]
77,[17.32911309170948],[1.0],[0.0],[80.0],[2710.7054507467105],[783.937901618014]
78,[17.499729416900347],[1.0],[0.0],[80.0],[2717.951697516815],[791.6562772350499]
79,[17.669227420914105],[1.0],[0.0],[80.0],[2725.123587362119],[799.3240620138655]
80,[17.837582211256397],[1.0],[0.0],[80.0],[2732.3413897116293],[806.9401298627977]
81,[18.004656080383164],[1.0],[0.0],[80.0],[2740.1185707561035],[814.4982511402854]
82,[18.170580836137084],[1.0],[0.0],[80.0],[2748.159751070999],[822.0043885960125]
83,[18.335431407579048],[1.0],[0.0],[80.0],[2756.304794474941],[829.4619318858979]
84,[18.49925143017585],[1.0],[0.0],[80.0],[2764.4684170405794],[836.8728549999603]
85,[18.66206779029483],[1.0],[0.0],[80.0],[2772.6053961676635],[844.2383742290905]
86,[18.823898370734117],[1.0],[0.0],[80.0],[2780.6919842393504],[851.5592985589046]
87,[18.98475618601575],[1.0],[0.0],[80.0],[2788.715956808664],[858.8362167429676]
88,[19.144651594798123],[1.0],[0.0],[80.0],[2796.6712747547203],[866.0695973883496]
89,[19.303591130130155],[1.0],[0.0],[80.0],[2804.506334892913],[873.2597360384312]
90,[19.46155224277749],[1.0],[0.0],[80.0],[2812.0909492383234],[880.4056126064156]
91,[19.618509713182302],[1.0],[0.0],[80.0],[2819.498333099438],[887.5060862048763]
92,[19.7744544552398],[1.0],[0.0],[80.0],[2826.7779678697148],[894.5607457947777]
93,[19.92938602246442],[1.0],[0.0],[80.0],[2833.9563204463784],[901.5695711779167]
94,[20.083308408188135],[1.0],[0.0],[80.0],[2841.047812521817],[908.5327430054476]
95,[20.236227860876955],[1.0],[0.0],[80.0],[2848.060548374281],[915.450543946732]
96,[20.38815174722781],[1.0],[0.0],[80.0],[2854.9993089878867],[922.323307257886]
97,[20.53908796050994],[1.0],[0.0],[80.0],[2861.86711916247],[929.1513900162107]
98,[20.689044612919993],[1.0],[0.0],[80.0],[2868.6660689001055],[935.9351592028888]
99,[20.838029876028667],[1.0],[0.0],[80.0],[2875.397744634552],[942.6749844850783]
100,[20.986051898519484],[1.0],[0.0],[80.0],[2882.0634560817793],[949.371234494562]
101,[21.133118764298448],[1.0],[0.0],[80.0],[2888.664355892487],[956.0242749327052]
102,[21.2792384716982],[1.0],[0.0],[80.0],[2895.2015030036378],[962.6344676296876]
103,[21.42441892370051],[1.0],[0.0],[80.0],[2901.6758963781244],[969.2021701021873]
104,[21.56866792390476],[1.0],[0.0],[80.0],[2908.0884931448895],[975.7277353710014]
105,[21.711924928920016],[1.0],[0.0],[80.0],[2914.7165735527124],[982.208424562041]
106,[21.854179931518207],[1.0],[0.0],[80.0],[2921.6837733780862],[988.6437849663104]
107,[21.995512260947446],[1.0],[0.0],[80.0],[2928.7876481472967],[995.0374052962826]
108,[22.135773740511016],[1.0],[0.0],[80.0],[2936.447744555398],[1001.3825823047649]
109,[22.2749417739322],[1.0],[0.0],[80.0],[2944.7382401534915],[1007.6782937768482]
110,[22.413163834776018],[1.0],[0.0],[80.0],[2953.263635491288],[1013.9312111513134]
111,[22.550517931251296],[1.0],[0.0],[80.0],[2961.8327246692133],[1020.1448633791923]
112,[22.687084758931565],[1.0],[0.0],[80.0],[2970.278673126145],[1026.3229009830627]
113,[22.82286756909124],[1.0],[0.0],[80.0],[2978.6153741155395],[1032.4654710447294]
114,[22.957865977882836],[1.0],[0.0],[80.0],[2986.862381718746],[1038.5725561996232]
115,[23.092098030921466],[1.0],[0.0],[80.0],[2995.112753027272],[1044.644972798908]
116,[23.22559565910274],[1.0],[0.0],[80.0],[3003.6166052402264],[1050.6841653388585]
117,[23.358421291661532],[1.0],[0.0],[80.0],[3012.1847327499427],[1056.6929580057515]
118,[23.490602760123462],[1.0],[0.0],[80.0],[3020.7437171207084],[1062.672609847738]
119,[23.62212294115565],[1.0],[0.0],[80.0],[3029.3852875731864],[1068.622346236043]
120,[23.752888680897623],[1.0],[0.0],[80.0],[3038.483758560696],[1074.5379530576001]
